"기준_년분기_코드","행정동_코드","행정동_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20194","11110600","가회동","130","719","81","21","8","44","169","525","83","34","8","4","50","66","245145969"
"20194","11110615","종로1?2?3?4가동","11","450","370","114","49","12","57","253","295","38","188","106","58","51","220777247"
"20194","11110630","종로5?6가동","14","312","1","2","3","1","57","245","11","5","","1","","42","132936677"
"20194","11110640","이화동","230","1535","253","17","4","30","747","844","204","8","5","2","29","53","145141512"
"20194","11110650","혜화동","341","2167","1073","133","54","35","1047","854","693","298","220","329","21","58","165269307"
"20194","11110670","창신1동","27","714","278","","","","100","334","29","289","240","","","48","161379277"
"20194","11110680","창신2동","225","1331","141","24","8","2","418","968","105","15","","","","49","121211234"
"20194","11110690","창신3동","27","761","763","306","","","29","102","339","1131","229","","","64","243402939"
"20194","11110700","숭인1동","40","356","329","185","","","16","142","73","3","291","345","","61","235295402"
"20194","11110710","숭인2동","193","2144","487","46","","","1061","1018","308","26","230","34","","51","143987316"
"20194","11140520","소공동","4","172","325","56","","","","","95","91","100","91","176","71","457047799"
"20194","11140540","회현동","25","614","139","233","277","183","58","509","111","40","53","7","668","83","315518214"
"20194","11140550","명동","6","16","14","2","116","120","3","14","6","9","","","236","95","416972645"
"20194","11140570","필동","37","514","115","71","9","7","52","296","257","81","16","7","7","64","231203921"
"20194","11140580","장충동","165","1774","111","26","24","41","1044","649","184","31","8","1","59","45","158255338"
"20194","11140590","광희동","17","452","331","174","107","1","32","412","236","112","70","27","176","51","180442167"
"20194","11140605","을지로동","4","8","231","","","","8","11","177","43","","","","68","213437246"
"20194","11140615","신당동","52","897","188","152","104","29","109","688","249","28","1","24","271","47","167818078"
"20194","11140625","다산동","400","2585","500","135","59","108","711","1834","482","192","67","26","75","65","183059237"
"20194","11140635","약수동","131","1582","1621","977","79","1","123","574","333","21","876","981","1352","68","289046874"
"20194","11140645","청구동","84","1449","1112","659","2","","152","281","123","423","1091","990","162","64","294228809"
"20194","11140650","신당5동","59","750","486","146","","","71","316","182","29","311","375","98","60","274164868"
"20194","11140665","동화동","62","374","1582","506","225","1","14","130","156","705","560","363","760","82","410344824"
"20194","11140670","황학동","51","1200","1050","387","59","4","112","539","98","577","915","426","33","53","225923415"
"20194","11140680","중림동","86","1012","693","267","30","1","212","487","207","47","226","323","501","60","256153393"
"20194","11170510","후암동","404","2263","1025","140","104","93","140","1088","1254","644","318","59","122","63","251501889"
"20194","11170520","용산2가동","305","1537","307","12","5","1","114","930","615","142","58","2","1","50","188915261"
"20194","11170530","남영동","82","503","183","134","128","39","64","128","225","225","51","9","285","62","325915063"
"20194","11170555","청파동","467","2572","655","114","12","3","226","1611","1176","270","65","4","4","55","206142632"
"20194","11170560","원효로1동","119","1301","1847","841","194","15","43","677","398","172","228","513","2167","61","351554472"
"20194","11170570","원효로2동","116","1460","1297","524","86","145","48","295","232","324","960","646","1007","72","369628825"
"20194","11170580","효창동","175","1180","881","232","53","33","108","662","595","400","166","127","321","64","258179644"
"20194","11170590","용문동","176","1694","923","454","3","","126","531","608","129","683","547","450","56","262622762"
"20194","11170625","한강로동","93","796","885","1005","1303","362","","263","364","126","136","178","3284","69","567531518"
"20194","11170630","이촌1동","131","1963","1860","3182","1056","1226","2","7","11","2","36","145","9084","120","1077394523"
"20194","11170640","이촌2동","97","1819","1106","282","4","1","1","14","260","550","321","501","1565","63","436884557"
"20194","11170650","이태원1동","91","281","143","287","270","296","12","30","61","195","115","97","767","98","554317911"
"20194","11170660","이태원2동","211","880","537","131","193","97","39","262","444","264","141","306","382","82","365818859"
"20194","11170685","한남동","511","2366","1409","475","397","1273","10","291","354","601","1067","705","2892","99","901751841"
"20194","11170690","서빙고동","182","581","695","109","625","694","","27","21","72","162","207","2215","80","745948349"
"20194","11170700","보광동","167","855","605","28","14","6","1","2","18","116","297","342","732","52","568741250"
"20194","11200520","왕십리2동","73","1580","1668","562","6","","104","124","146","1079","1626","604","133","68","333110823"
"20194","11200535","왕십리도선동","104","1622","3642","963","180","","196","261","245","451","795","915","3544","72","479680275"
"20194","11200540","마장동","120","2621","2089","173","243","46","299","852","774","1287","1665","259","36","58","241419577"
"20194","11200550","사근동","112","1247","856","151","28","","595","619","438","135","","36","459","46","139242984"
"20194","11200560","행당1동","140","1118","1105","464","","","70","395","175","204","515","842","486","58","248832965"
"20194","11200570","행당2동","97","2397","2531","1444","4","1","17","111","119","687","1600","2771","1072","79","451248059"
"20194","11200580","응봉동","236","2348","1524","883","","","663","493","148","769","1395","761","526","55","172602163"
"20194","11200590","금호1가동","184","1625","1121","638","","2","438","414","56","761","1194","523","","53","180067652"
"20194","11200615","금호2?3가동","262","2871","2065","716","2","","132","904","372","180","1316","1246","1504","59","244065289"
"20194","11200620","금호4가동","116","1359","1694","554","","","21","214","133","122","733","1232","1152","64","373217118"
"20194","11200645","옥수동","133","2401","3708","1401","647","198","24","143","70","133","563","1640","5782","93","611686138"
"20194","11200650","성수1가1동","121","1536","2185","10","208","4","7","70","249","329","349","944","1995","60","467779051"
"20194","11200660","성수1가2동","76","1382","1373","45","","","86","203","98","477","1191","491","254","56","331027896"
"20194","11200670","성수2가1동","114","1557","1150","202","157","6","45","183","487","451","320","490","1096","58","371108065"
"20194","11200690","성수2가3동","78","783","904","801","","1","118","304","208","443","211","466","739","58","291895888"
"20194","11200720","송정동","67","772","496","92","","","88","334","396","311","231","","","50","190377083"
"20194","11200790","용답동","55","443","283","7","","","125","155","314","138","1","","","57","193035015"
"20194","11215710","화양동","198","2900","339","33","","","1209","1426","310","216","111","","","34","132779174"
"20194","11215730","군자동","221","1826","692","152","66","6","381","1188","607","283","131","133","19","53","178474581"
"20194","11215740","중곡1동","235","1628","478","28","20","","251","1227","621","55","","","","52","171882565"
"20194","11215750","중곡2동","373","2682","665","26","3","1","358","1877","1082","58","1","1","","51","172760642"
"20194","11215760","중곡3동","234","1948","385","17","","","238","1517","584","10","1","","","49","161502511"
"20194","11215770","중곡4동","601","3947","1331","100","13","","476","3400","1228","252","35","","","53","165867117"
"20194","11215780","능동","164","1310","237","16","5","1","251","736","518","55","6","3","","46","183316606"
"20194","11215810","광장동","195","2376","5811","581","652","618","51","293","390","436","1747","3083","4038","93","506935544"
"20194","11215820","자양1동","355","2874","885","87","7","7","261","1613","1312","223","126","65","260","50","190481420"
"20194","11215830","자양2동","409","3161","1986","499","290","50","150","1542","1377","906","882","516","613","55","227462355"
"20194","11215840","자양3동","162","2282","3781","969","733","104","35","428","367","737","1696","1769","2837","67","364529590"
"20194","11215847","자양4동","144","1523","1282","38","59","","334","596","490","425","465","532","60","48","209557237"
"20194","11215850","구의1동","405","2902","674","62","2","3","522","2115","824","70","108","2","2","49","162628430"
"20194","11215860","구의2동","543","3412","1574","136","38","9","363","2824","1556","259","100","57","10","59","185479350"
"20194","11215870","구의3동","315","2904","4306","356","503","296","492","1406","803","409","1460","2826","969","61","234312721"
"20194","11230536","용신동","227","3288","1730","452","38","16","588","1504","1135","670","638","793","196","57","198281968"
"20194","11230545","제기동","268","2519","1797","538","8","14","665","1362","639","1446","763","1","","56","159006803"
"20194","11230560","전농1동","217","2530","1786","665","1","3","480","883","451","332","367","2030","442","56","229549463"
"20194","11230570","전농2동","94","1692","1766","1259","","1","100","246","717","1703","1445","507","","71","290531164"
"20194","11230600","답십리1동","91","2692","2793","608","118","","298","669","610","717","1070","2390","457","68","358508751"
"20194","11230610","답십리2동","116","2638","2976","853","2","","299","577","1019","2980","1558","36","","70","260012142"
"20194","11230650","장안1동","349","4571","3972","1083","150","1","845","2450","2654","1944","1758","126","","59","204060325"
"20194","11230660","장안2동","267","3638","3717","517","57","2","377","1544","2272","1962","1503","248","25","59","215602126"
"20194","11230705","청량리동","183","1173","1116","1123","302","90","331","561","185","821","1174","558","174","64","178345749"
"20194","11230710","회기동","83","1205","849","42","1","","378","736","211","613","125","34","","53","155253764"
"20194","11230720","휘경1동","93","1115","775","290","","","363","278","578","781","180","","","50","150308562"
"20194","11230730","휘경2동","211","2528","2273","809","1","","612","1280","887","1632","1144","56","","59","184309353"
"20194","11230740","이문1동","437","2760","1009","501","109","12","1028","1147","604","950","494","166","2","46","146871731"
"20194","11230750","이문2동","91","1778","2020","811","23","","207","120","515","2577","1200","13","","67","281936432"
"20194","11260520","면목2동","239","3326","1162","110","4","","435","2745","1279","143","","","","54","149008708"
"20194","11260540","면목4동","200","2740","1169","187","5","1","543","1695","959","704","173","28","","57","165459128"
"20194","11260550","면목5동","148","1364","300","27","","","283","1202","206","","","","","51","137402406"
"20194","11260565","면목본동","465","4569","890","17","3","2","805","3861","509","306","","","","48","144860479"
"20194","11260570","면목7동","183","1531","2197","151","148","","351","991","894","1605","186","","","58","166254878"
"20194","11260575","면목3?8동","241","2580","1639","25","","","449","2061","1146","588","","","","53","144301533"
"20194","11260580","상봉1동","221","2822","3579","477","15","6","1262","1107","1806","2034","424","224","42","58","187604600"
"20194","11260590","상봉2동","264","2751","755","156","141","24","836","1921","300","264","298","184","24","44","145011243"
"20194","11260600","중화1동","259","3007","1701","39","","","390","2086","1572","699","","","","55","152603722"
"20194","11260610","중화2동","253","2798","777","20","3","","644","2010","709","235","","","","48","149665490"
"20194","11260620","묵1동","445","4824","2555","2062","24","17","704","2925","2161","1792","1832","32","36","59","176392502"
"20194","11260630","묵2동","229","2629","691","69","","","341","2075","724","249","","","","48","151547294"
"20194","11260655","망우본동","267","2904","2013","248","39","1","793","2051","1424","779","158","","","58","158999812"
"20194","11260660","망우3동","216","1795","238","5","8","1","342","1580","124","1","","","","50","140113025"
"20194","11260680","신내1동","187","6239","4544","1181","136","1","418","2200","5543","3559","381","","","64","215840048"
"20194","11260690","신내2동","77","5645","1962","608","210","","844","2699","3526","1178","154","24","","68","257420070"
"20194","11290525","성북동","274","1315","710","116","124","203","454","1233","373","110","58","38","202","80","251457726"
"20194","11290555","삼선동","242","2364","1615","555","20","6","577","1431","228","951","1066","218","89","60","184643303"
"20194","11290575","동선동","192","2040","709","165","1","7","1085","986","219","329","289","14","","52","141683917"
"20194","11290580","돈암1동","85","1411","2193","858","","","125","521","1294","1760","722","40","","68","235235256"
"20194","11290590","돈암2동","126","1752","3329","919","1445","","22","284","1423","2831","2676","195","14","80","315652532"
"20194","11290600","안암동","137","1790","453","237","23","100","932","713","254","376","299","28","1","56","150623756"
"20194","11290610","보문동","143","1739","1473","211","1","","355","549","491","626","1122","281","","56","201345097"
"20194","11290620","정릉1동","131","2014","2174","626","","","189","653","1911","1922","139","","","63","198789913"
"20194","11290630","정릉2동","433","3421","2879","347","20","2","853","2661","1868","1257","29","","1","62","150436083"
"20194","11290640","정릉3동","232","2340","748","104","24","4","868","1912","415","22","2","1","","57","130646210"
"20194","11290650","정릉4동","396","4681","2716","926","9","2","1176","3196","2288","1354","320","","","63","160042808"
"20194","11290660","길음1동","178","4696","4983","1945","74","","694","630","955","3026","4237","1879","277","77","379937300"
"20194","11290685","길음2동","46","997","1097","614","103","107","567","55","64","1342","488","257","145","73","282068092"
"20194","11290705","종암동","349","5472","3531","1267","23","","1200","2129","1589","3339","1874","162","","60","197591506"
"20194","11290715","월곡1동","170","3543","2669","846","","","412","1169","827","2592","1978","80","","64","254065315"
"20194","11290725","월곡2동","117","1996","1483","603","88","60","430","827","1107","921","626","211","108","63","208407162"
"20194","11290760","장위1동","471","3813","478","32","4","2","989","3094","233","11","1","1","","51","132714004"
"20194","11290770","장위2동","217","1341","512","54","3","1","221","1312","342","35","","","1","58","148893928"
"20194","11290780","장위3동","92","1185","1117","147","","","44","736","316","523","790","40","","60","201253297"
"20194","11290810","석관동","377","3951","1755","271","296","50","807","1760","1238","1930","588","","","51","149946511"
"20194","11305534","삼양동","427","3731","1539","391","2","","820","2664","926","1231","22","","","54","138061642"
"20194","11305535","미아동","438","3955","851","19","19","1","1745","2351","526","222","1","","","48","116814076"
"20194","11305545","송중동","498","3588","1571","374","3","","1543","2063","194","1053","659","24","","53","129852475"
"20194","11305555","송천동","367","2778","983","95","","1","448","1984","638","213","428","146","","51","153552735"
"20194","11305575","삼각산동","136","2396","4392","1681","","","8","13","1411","4913","1791","333","","84","365752537"
"20194","11305595","번1동","204","1914","764","","3","","681","1259","406","333","2","","","49","121975950"
"20194","11305603","번2동","498","5401","745","115","1","","3397","1720","1057","88","","","","45","81858513"
"20194","11305608","번3동","94","5239","1827","97","34","","1299","3239","2040","605","14","","","58","172270452"
"20194","11305615","수유1동","466","4097","697","42","1","","1889","2772","167","9","","","","51","116185046"
"20194","11305625","수유2동","366","3893","1231","694","3","","1206","2345","1086","1149","35","","","53","127414142"
"20194","11305635","수유3동","382","3282","430","19","2","1","1197","2360","159","18","","","","51","118006020"
"20194","11305645","우이동","518","3867","1335","208","74","35","1290","3232","729","205","11","40","12","59","135496765"
"20194","11305660","인수동","759","6096","1552","159","136","4","2438","4589","755","150","15","","","54","126805939"
"20194","11320511","창1동","195","5111","2981","186","156","78","519","2097","2931","2847","106","12","","64","197384233"
"20194","11320512","창2동","500","5192","2416","256","24","2","1677","3448","1044","1664","57","","","53","140185785"
"20194","11320513","창3동","215","2247","516","35","","","463","1937","398","","","","","51","126084463"
"20194","11320514","창4동","98","4966","3831","551","676","","119","2487","1764","3788","1610","256","","75","314302692"
"20194","11320515","창5동","246","4227","2671","1180","211","160","840","2012","1962","1424","1885","326","","58","177117910"
"20194","11320521","도봉1동","490","4104","1346","30","22","1","2534","1952","1016","","1","","","50","95872928"
"20194","11320522","도봉2동","131","3476","4947","337","3","","977","2228","4914","614","30","","","66","184488971"
"20194","11320660","쌍문1동","407","4064","1904","113","46","2","1772","3037","890","408","22","","","55","122291925"
"20194","11320670","쌍문2동","322","4141","1266","10","3","55","1159","3479","784","15","38","","","54","118041184"
"20194","11320680","쌍문3동","253","2379","704","100","1","","943","1520","447","274","","","","54","123930841"
"20194","11320681","쌍문4동","110","2186","3694","99","8","19","291","1978","3557","173","6","1","","63","166201014"
"20194","11320690","방학1동","315","3145","2158","705","547","1","1264","1917","579","1226","1304","266","","58","158569726"
"20194","11320700","방학2동","446","4177","598","2","9","","2070","2666","48","2","","","","50","108518836"
"20194","11320710","방학3동","130","3323","5167","450","140","","254","3209","5217","400","","","","71","183046724"
"20194","11350560","월계1동","309","3506","2593","580","1","","1209","1251","2286","1605","329","","","53","136871862"
"20194","11350570","월계2동","129","7536","1795","450","158","","2160","4447","1779","1367","186","","","64","210288794"
"20194","11350580","월계3동","104","9591","2188","524","328","","1617","1524","4543","3546","1401","","","60","269053386"
"20194","11350595","공릉1동","434","8445","3515","502","41","","2956","4297","3250","1544","456","","","52","146999271"
"20194","11350600","공릉2동","280","5949","4257","1092","263","","1033","1709","5104","3002","435","221","57","65","221426350"
"20194","11350611","하계1동","131","4635","2281","795","446","","2931","745","1314","1727","1416","24","","72","235113128"
"20194","11350612","하계2동","55","3074","2844","738","","","","772","2424","2646","814","","","78","318489311"
"20194","11350619","중계본동","192","2749","1831","1639","440","","528","1576","1622","788","581","1220","344","70","222324608"
"20194","11350621","중계1동","79","3329","3564","981","66","","7","848","1677","1844","1623","1923","18","79","396727534"
"20194","11350624","중계4동","74","4716","2202","300","34","","1375","2472","1799","1246","264","96","","63","214250769"
"20194","11350625","중계2?3동","76","9471","1880","282","16","","1982","4821","3132","1392","310","12","","57","219885371"
"20194","11350630","상계1동","300","7012","4605","896","265","5","1425","3321","5925","1545","567","","","62","176797397"
"20194","11350640","상계2동","170","2516","2236","253","248","8","808","692","1328","1886","539","8","","55","166319575"
"20194","11350665","상계3?4동","284","3577","1862","435","5","","1080","2016","1485","1298","","","","55","129128483"
"20194","11350670","상계5동","240","4279","1820","2","","","984","2550","2407","160","","","","51","119687370"
"20194","11350695","상계6?7동","151","10485","3112","50","","","68","1914","7241","4164","260","","","56","274442492"
"20194","11350700","상계8동","73","8022","1068","","","","","2496","5485","1109","","","","55","240571617"
"20194","11350710","상계9동","71","5719","2539","","","","","2967","4114","1177","","","","59","239201169"
"20194","11350720","상계10동","52","4624","1378","420","","","","516","3446","1358","1102","","","62","294185003"
"20194","11380510","녹번동","700","5409","2714","288","58","4","1762","3773","1125","664","347","676","126","54","148950294"
"20194","11380520","불광1동","744","6023","4522","981","59","3","1290","3316","1100","2672","2179","945","86","55","175840484"
"20194","11380530","불광2동","713","5646","1176","109","23","19","2173","3922","660","201","16","1","","50","123025345"
"20194","11380551","갈현1동","577","4107","1472","129","9","1","866","3210","1266","375","1","","","54","161536572"
"20194","11380552","갈현2동","738","5793","1800","299","124","16","1340","5225","1118","243","106","","","54","143305148"
"20194","11380560","구산동","779","5730","3226","481","32","1","1746","5512","1662","550","","","","57","138734985"
"20194","11380570","대조동","834","6611","1262","122","7","","2024","4651","1118","198","8","3","","50","141876725"
"20194","11380580","응암1동","496","4095","1949","178","142","1","818","3188","1147","958","253","1","","55","155404845"
"20194","11380590","응암2동","231","2792","2262","458","43","1","451","830","504","1155","1994","622","","57","193229484"
"20194","11380600","응암3동","623","4272","824","141","6","6","1624","2652","932","40","1","","","51","124377248"
"20194","11380625","역촌동","1296","9187","3410","221","74","9","2186","8327","1746","571","71","","","55","146529019"
"20194","11380631","신사1동","641","5265","2652","160","11","","1359","4667","1542","472","48","","","55","140916622"
"20194","11380632","신사2동","387","3290","2015","56","2","4","964","2338","2061","4","","","","53","130538212"
"20194","11380640","증산동","268","1921","1728","303","26","3","233","1593","1066","844","217","26","2","60","190056136"
"20194","11380650","수색동","174","1551","933","522","45","9","103","811","793","996","148","200","9","55","198120539"
"20194","11380690","진관동","374","4295","6817","2526","1659","848","","1351","1688","4753","6248","2024","81","97","417856561"
"20194","11410520","천연동","114","2116","1768","828","8","","137","268","230","1145","1583","1002","355","64","305473718"
"20194","11410555","북아현동","100","1589","738","130","10","17","25","164","228","1059","164","193","651","60","313075561"
"20194","11410565","충현동","260","1618","1402","237","54","29","152","743","1278","686","320","136","25","70","258257699"
"20194","11410585","신촌동","249","2988","854","191","25","6","1329","1262","432","507","477","56","1","49","152628660"
"20194","11410615","연희동","679","5129","2138","610","193","173","1881","3062","1289","875","800","140","196","66","176044203"
"20194","11410620","홍제1동","329","3259","2266","786","26","24","780","1931","983","1655","978","34","","62","161088672"
"20194","11410640","홍제3동","187","1959","1588","210","13","","507","1100","1184","979","","","","55","141258667"
"20194","11410655","홍제2동","116","1389","1907","545","59","1","156","367","456","1518","1300","104","","69","251213445"
"20194","11410660","홍은1동","190","2365","2334","572","285","","591","1029","1561","1516","501","300","58","62","171751622"
"20194","11410685","홍은2동","676","4556","2093","305","209","159","2050","3427","1034","534","196","44","37","60","138441256"
"20194","11410690","남가좌1동","83","1134","2833","568","69","60","83","228","210","88","533","1299","2223","76","467013784"
"20194","11410700","남가좌2동","281","2934","1302","685","1","2","844","1126","297","1228","1271","158","","52","157236773"
"20194","11410710","북가좌1동","189","1528","2674","802","140","8","84","678","790","727","455","1199","1219","65","267615133"
"20194","11410720","북가좌2동","884","5935","2510","381","","19","1246","5100","1079","844","410","146","20","55","154720417"
"20194","11440555","아현동","100","3355","2983","1134","44","114","12","158","322","512","742","1094","4790","77","629717753"
"20194","11440565","공덕동","466","4123","2477","1286","137","5","269","1702","1017","544","522","1208","2766","57","254887293"
"20194","11440585","도화동","124","1240","2552","1231","580","29","200","281","185","369","1425","1844","1328","76","377106809"
"20194","11440590","용강동","151","2388","2583","915","274","","116","320","771","255","1142","927","2629","66","384996323"
"20194","11440600","대흥동","53","1290","563","95","","1","115","670","526","10","12","154","462","46","226580976"
"20194","11440610","염리동","72","1060","634","162","3","1","82","154","135","539","313","253","384","64","279788240"
"20194","11440630","신수동","217","2519","2512","630","63","20","369","636","519","345","1184","1142","1549","59","279808531"
"20194","11440655","서강동","321","2553","3312","571","336","153","577","883","649","238","618","1432","2528","57","282236207"
"20194","11440660","서교동","511","4576","1152","315","404","23","1440","2245","1470","456","134","168","557","51","187802822"
"20194","11440680","합정동","534","3727","1249","244","157","6","467","2255","1258","604","276","43","480","50","208779640"
"20194","11440690","망원1동","522","4108","1204","226","8","1","412","2750","1318","515","432","120","","48","186695120"
"20194","11440700","망원2동","436","3731","1729","221","36","","547","2003","1229","1108","599","231","","49","179743268"
"20194","11440710","연남동","401","2859","1065","237","38","5","932","1308","1068","326","297","203","70","51","186573762"
"20194","11440720","성산1동","567","3886","1436","136","51","10","1034","2663","1421","359","28","13","1","55","168611594"
"20194","11440730","성산2동","358","8914","2935","547","7","","973","2920","1125","2665","4190","530","","53","200214576"
"20194","11440740","상암동","190","4889","2763","1178","","","292","1155","1884","996","1331","2022","1150","65","376864247"
"20194","11470510","목1동","103","2322","2621","1482","918","266","8","690","102","104","649","1178","4878","77","586886671"
"20194","11470520","목2동","772","6330","2593","376","243","8","776","5078","1766","607","577","521","225","53","174577996"
"20194","11470530","목3동","449","4096","1344","352","61","4","584","3076","790","266","245","485","411","52","163506517"
"20194","11470540","목4동","507","3689","2623","312","127","6","542","3103","883","753","702","664","110","55","168741431"
"20194","11470550","목5동","191","3366","5496","1557","1785","177","","","","2","28","2005","10346","101","942182401"
"20194","11470560","신월1동","372","3627","1053","22","5","","1413","2702","592","","","","","50","110526592"
"20194","11470570","신월2동","365","3459","2771","386","6","","1158","2514","1624","612","619","79","16","56","141958156"
"20194","11470580","신월3동","230","2118","609","11","","","1249","1064","423","2","","","","46","102305214"
"20194","11470590","신월4동","275","2736","3022","38","","1","502","2575","2090","614","16","","","57","151105182"
"20194","11470600","신월5동","296","2303","1405","163","14","1","875","1843","691","358","117","2","","54","126121554"
"20194","11470610","신월6동","107","909","1028","55","4","","529","233","732","502","","","","52","125507841"
"20194","11470611","신월7동","671","7949","436","","1","","4524","2337","1524","1","","","","42","84199868"
"20194","11470620","신정1동","113","1387","1950","2055","264","","46","187","193","107","664","572","3887","85","605501893"
"20194","11470630","신정2동","95","1648","3219","844","1","","1131","279","212","430","1480","1452","728","66","315772088"
"20194","11470640","신정3동","340","8930","4131","1258","32","","1193","2981","5269","3086","1791","6","25","66","240510701"
"20194","11470650","신정4동","757","5908","2279","193","6","4","1340","5178","1516","314","42","","","53","144748857"
"20194","11470670","신정6동","81","1794","2405","2295","474","246","","","","4","1429","977","4804","97","740040684"
"20194","11470680","신정7동","112","5799","3392","696","207","203","4164","80","135","932","2269","1781","936","70","377068096"
"20194","11500510","염창동","247","4104","7029","906","191","4","344","711","926","4724","3306","1862","361","69","315712217"
"20194","11500520","등촌1동","189","2585","2484","168","","","370","1059","696","2266","834","12","","54","194077010"
"20194","11500530","등촌2동","390","3316","1905","358","384","233","548","2477","826","465","1035","463","382","56","188442463"
"20194","11500535","등촌3동","124","10613","1644","641","232","","147","5891","2506","2047","1929","610","","57","272440093"
"20194","11500540","화곡1동","1203","12949","2954","231","4","","3547","10765","1387","439","","","","50","127461680"
"20194","11500550","화곡2동","520","4580","552","22","9","","1113","3850","198","2","","","","50","122417413"
"20194","11500560","화곡3동","352","2759","1425","960","739","20","557","1977","871","258","764","1272","204","63","198251565"
"20194","11500570","화곡4동","539","4838","923","51","","","1092","4207","488","25","","","","50","126522714"
"20194","11500590","화곡본동","1160","10133","1062","25","1","","3193","7799","229","","","","","50","118872243"
"20194","11500591","화곡6동","462","4117","1846","436","272","226","1475","2972","456","468","495","826","205","56","150434066"
"20194","11500593","화곡8동","816","6585","1412","100","3","","1630","5909","425","136","","","","52","125368579"
"20194","11500603","가양1동","148","3529","2813","689","500","","120","711","1276","1165","2564","855","840","66","322050055"
"20194","11500604","가양2동","53","5964","414","704","","","3419","1081","1134","342","590","516","","52","235624512"
"20194","11500605","가양3동","59","6944","457","34","","","539","3543","1179","1488","563","123","","49","259383353"
"20194","11500611","발산1동","407","6848","4707","218","38","3","613","1761","2201","1688","2690","1840","1021","60","235520646"
"20194","11500615","우장산동","526","4672","5879","2206","157","","872","2502","770","1125","1066","2632","3947","63","249204228"
"20194","11500620","공항동","353","4461","1601","42","2","1","783","2228","258","197","284","1145","1212","48","192482001"
"20194","11500630","방화1동","390","5481","5722","1346","1","","465","2083","1017","2822","2387","787","2989","60","272983582"
"20194","11500640","방화2동","253","4544","1311","219","4","1","1426","1915","1656","1022","60","","","51","164702344"
"20194","11500641","방화3동","148","7175","1213","660","498","","1121","3043","2637","1639","1070","36","","62","213593456"
"20194","11530510","신도림동","142","3189","5349","1256","720","258","218","409","558","2268","3588","2094","1637","84","419902665"
"20194","11530520","구로1동","67","2122","4319","257","1","","52","581","2464","2976","626","","","73","291319966"
"20194","11530530","구로2동","276","2655","1530","22","7","4","537","1741","1149","788","3","","","51","153719272"
"20194","11530540","구로3동","486","4882","1710","452","1","","1753","1199","1363","1742","850","138","","49","117578284"
"20194","11530550","구로4동","574","6345","1272","11","1","","2417","2237","2380","595","","","","46","99491166"
"20194","11530560","구로5동","145","3331","3168","614","309","125","950","1041","1526","1830","1902","197","101","63","219264838"
"20194","11530595","가리봉동","174","1143","207","12","10","37","267","952","136","23","10","13","8","70","182837797"
"20194","11530720","고척1동","182","2849","3715","166","45","","312","1567","2695","2122","79","","","60","180394303"
"20194","11530730","고척2동","267","3690","2386","548","","","682","1987","2182","1353","324","96","","57","161051361"
"20194","11530740","개봉1동","399","4691","2650","491","384","","891","2889","1698","1963","775","","","55","144089813"
"20194","11530750","개봉2동","469","4971","3914","1397","34","","774","3301","2006","2468","1671","96","","59","165640411"
"20194","11530760","개봉3동","421","4464","1705","121","","","661","3693","1309","627","","","","54","142946553"
"20194","11530770","오류1동","216","3800","1285","570","6","","1129","2523","1959","50","","","","55","137434342"
"20194","11530780","오류2동","372","8314","3959","714","91","","810","3865","4669","2980","750","4","","60","198407491"
"20194","11530790","수궁동","421","5533","2266","296","51","","1150","4589","1642","627","102","36","","58","153269551"
"20194","11530800","항동","46","913","308","116","2","84","38","696","513","38","1","53","84","69","210708531"
"20194","11545510","가산동","167","3699","993","105","174","","782","2419","1001","769","","","","51","154218482"
"20194","11545610","독산1동","220","5238","4447","430","19","14","1210","2630","3195","1357","1098","658","","60","192652545"
"20194","11545620","독산2동","305","2657","430","8","1","","627","2371","98","","","","","51","127560010"
"20194","11545630","독산3동","391","3460","1475","103","3","","552","3258","995","236","","","","53","147147300"
"20194","11545640","독산4동","248","1936","711","8","1","1","349","1992","293","23","","","","55","136139901"
"20194","11545670","시흥1동","381","5397","2230","378","79","","663","3419","1905","707","1123","221","46","53","159614373"
"20194","11545680","시흥2동","75","2289","2304","1835","","","601","678","4381","768","","","","78","221267164"
"20194","11545690","시흥3동","236","2637","1052","29","3","","278","3119","300","24","","","","58","148950289"
"20194","11545700","시흥4동","340","3214","1230","204","4","","831","2492","1175","154","","","","55","130235058"
"20194","11545710","시흥5동","199","2362","1036","34","","","222","2105","959","146","","","","52","143002643"
"20194","11560515","영등포본동","238","1876","2998","63","","","342","1048","134","847","1894","672","","56","193125873"
"20194","11560535","영등포동","142","3643","1708","484","143","","1269","1279","357","506","683","663","1221","46","241509267"
"20194","11560540","여의동","96","532","2424","2836","3215","1114","","","20","153","50","402","9496","126","969059135"
"20194","11560550","당산1동","95","1845","2023","300","48","","134","708","395","999","1398","554","28","52","265861234"
"20194","11560560","당산2동","214","3805","4039","1480","686","7","595","1172","483","863","2313","1926","2665","67","365167641"
