"기준_년분기_코드","행정동_코드","행정동_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20232","11140580","장충동","160","1262","78","22","12","28","599","441","272","43","8","1","38","45","186105513"
"20233","11140580","장충동","160","1262","78","22","12","28","599","441","272","43","8","1","38","45","186105513"
"20231","11140590","광희동","10","61","18","6","","","7","39","33","6","","","","51","193927273"
"20232","11140590","광희동","10","61","18","6","","","7","39","33","6","","","","51","193927273"
"20233","11140590","광희동","10","61","18","6","","","7","39","33","6","","","","51","193927273"
"20231","11140605","을지로동","1","","11","","","","","","","","11","","","85","457909091"
"20232","11140605","을지로동","1","","11","","","","","","","","11","","","85","457909091"
"20233","11140605","을지로동","1","","11","","","","","","","","11","","","85","457909091"
"20231","11140615","신당동","36","194","71","3","","","30","130","95","9","","1","3","49","202648861"
"20232","11140615","신당동","36","194","71","3","","","30","130","95","9","","1","3","49","202648861"
"20233","11140615","신당동","36","194","71","3","","","30","130","95","9","","1","3","49","202648861"
"20231","11140625","다산동","374","2274","423","116","44","99","371","1613","533","239","84","39","77","64","207881680"
"20232","11140625","다산동","374","2274","423","116","44","99","371","1613","533","239","84","39","77","64","207881680"
"20233","11140625","다산동","374","2274","423","116","44","99","371","1613","533","239","84","39","77","64","207881680"
"20231","11140635","약수동","125","617","398","195","9","","45","365","374","36","3","8","388","68","382587628"
"20232","11140635","약수동","125","617","398","195","9","","45","365","374","36","3","8","388","68","382587628"
"20233","11140635","약수동","125","617","398","195","9","","45","365","374","36","3","8","388","68","382587628"
"20231","11140645","청구동","74","346","236","108","1","","4","158","96","71","32","68","262","68","433917253"
"20232","11140645","청구동","74","346","236","108","1","","4","158","96","71","32","68","262","68","433917253"
"20233","11140645","청구동","74","346","236","108","1","","4","158","96","71","32","68","262","68","433917253"
"20231","11140650","신당5동","64","398","229","40","","","26","144","182","77","10","18","210","59","382417416"
"20232","11140650","신당5동","64","398","229","40","","","26","144","182","77","10","18","210","59","382417416"
"20233","11140650","신당5동","64","398","229","40","","","26","144","182","77","10","18","210","59","382417416"
"20231","11140665","동화동","59","169","297","115","56","","10","84","65","68","46","63","301","83","562530704"
"20232","11140665","동화동","59","169","297","115","56","","10","84","65","68","46","63","301","83","562530704"
"20233","11140665","동화동","59","169","297","115","56","","10","84","65","68","46","63","301","83","562530704"
"20231","11140670","황학동","29","186","79","31","5","","13","143","26","20","","37","62","60","320745114"
"20232","11140670","황학동","29","186","79","31","5","","13","143","26","20","","37","62","60","320745114"
"20233","11140670","황학동","29","186","79","31","5","","13","143","26","20","","37","62","60","320745114"
"20231","11140680","중림동","88","427","216","63","2","1","15","214","201","46","8","3","222","60","368461445"
"20232","11140680","중림동","88","427","216","63","2","1","15","214","201","46","8","3","222","60","368461445"
"20233","11140680","중림동","88","427","216","63","2","1","15","214","201","46","8","3","222","60","368461445"
"20231","11290575","동선동","180","1176","428","80","1","6","429","688","398","28","58","62","28","53","181189828"
"20232","11290575","동선동","180","1176","428","80","1","6","429","688","398","28","58","62","28","53","181189828"
"20233","11290575","동선동","180","1176","428","80","1","6","429","688","398","28","58","62","28","53","181189828"
"20231","11290580","돈암1동","90","364","386","123","","","21","215","176","46","179","138","98","68","335447080"
"20232","11290580","돈암1동","90","364","386","123","","","21","215","176","46","179","138","98","68","335447080"
"20233","11290580","돈암1동","90","364","386","123","","","21","215","176","46","179","138","98","68","335447080"
"20231","11290590","돈암2동","130","526","515","175","197","","12","293","85","58","188","552","225","78","419147665"
"20233","11290590","돈암2동","130","526","515","175","197","","12","293","85","58","188","552","225","78","419147665"
"20231","11290600","안암동","131","949","187","114","13","17","343","522","177","63","108","41","26","56","192016146"
"20232","11290590","돈암2동","130","526","515","175","197","","12","293","85","58","188","552","225","78","419147665"
"20232","11290600","안암동","131","949","187","114","13","17","343","522","177","63","108","41","26","56","192016146"
"20233","11290600","안암동","131","949","187","114","13","17","343","522","177","63","108","41","26","56","192016146"
"20231","11290610","보문동","128","828","394","35","1","","203","431","247","52","68","115","142","57","253619175"
"20232","11290610","보문동","128","828","394","35","1","","203","431","247","52","68","115","142","57","253619175"
"20233","11290610","보문동","128","828","394","35","1","","203","431","247","52","68","115","142","57","253619175"
"20231","11290620","정릉1동","129","682","427","98","","","107","397","112","131","215","205","40","64","282449873"
"20232","11290620","정릉1동","129","682","427","98","","","107","397","112","131","215","205","40","64","282449873"
"20233","11290620","정릉1동","129","682","427","98","","","107","397","112","131","215","205","40","64","282449873"
"20231","11290630","정릉2동","445","2838","1124","127","19","1","629","2443","519","189","279","49","1","61","172918375"
"20232","11290630","정릉2동","445","2838","1124","127","19","1","629","2443","519","189","279","49","1","61","172918375"
"20233","11290630","정릉2동","445","2838","1124","127","19","1","629","2443","519","189","279","49","1","61","172918375"
"20231","11290640","정릉3동","227","1901","531","35","15","2","659","1554","234","33","3","1","","55","137578168"
"20232","11290640","정릉3동","227","1901","531","35","15","2","659","1554","234","33","3","1","","55","137578168"
"20233","11290640","정릉3동","227","1901","531","35","15","2","659","1554","234","33","3","1","","55","137578168"
"20231","11290650","정릉4동","375","2178","1179","275","9","2","580","1971","338","244","372","138","","63","191431798"
"20232","11290650","정릉4동","375","2178","1179","275","9","2","580","1971","338","244","372","138","","63","191431798"
"20233","11290650","정릉4동","375","2178","1179","275","9","2","580","1971","338","244","372","138","","63","191431798"
"20231","11290660","길음1동","168","731","885","387","24","","27","94","117","20","267","624","878","80","555071069"
"20232","11290660","길음1동","168","731","885","387","24","","27","94","117","20","267","624","878","80","555071069"
"20233","11290660","길음1동","168","731","885","387","24","","27","94","117","20","267","624","878","80","555071069"
"20231","11290685","길음2동","64","350","223","80","14","13","55","45","36","10","105","116","313","72","503395171"
"20232","11290685","길음2동","64","350","223","80","14","13","55","45","36","10","105","116","313","72","503395171"
"20233","11290685","길음2동","64","350","223","80","14","13","55","45","36","10","105","116","313","72","503395171"
"20231","11290705","종암동","324","2208","761","209","22","","260","1310","637","117","231","354","291","60","262472736"
"20232","11290705","종암동","324","2208","761","209","22","","260","1310","637","117","231","354","291","60","262472736"
"20233","11290705","종암동","324","2208","761","209","22","","260","1310","637","117","231","354","291","60","262472736"
"20231","11290715","월곡1동","165","1084","547","182","","","64","469","362","38","345","422","113","65","327301568"
"20232","11290715","월곡1동","165","1084","547","182","","","64","469","362","38","345","422","113","65","327301568"
"20233","11290715","월곡1동","165","1084","547","182","","","64","469","362","38","345","422","113","65","327301568"
"20231","11290725","월곡2동","112","693","344","160","8","","125","404","256","101","153","86","80","62","258710010"
"20232","11290725","월곡2동","112","693","344","160","8","","125","404","256","101","153","86","80","62","258710010"
"20233","11290725","월곡2동","112","693","344","160","8","","125","404","256","101","153","86","80","62","258710010"
"20231","11290760","장위1동","481","3756","437","21","2","2","397","3216","579","18","7","1","","50","155488309"
"20232","11290760","장위1동","481","3756","437","21","2","2","397","3216","579","18","7","1","","50","155488309"
"20233","11290760","장위1동","481","3756","437","21","2","2","397","3216","579","18","7","1","","50","155488309"
"20231","11290770","장위2동","202","1368","311","12","2","","79","1125","427","55","7","","","53","179903942"
"20232","11290770","장위2동","202","1368","311","12","2","","79","1125","427","55","7","","","53","179903942"
"20233","11290770","장위2동","202","1368","311","12","2","","79","1125","427","55","7","","","53","179903942"
"20231","11290780","장위3동","85","506","355","45","","","23","297","182","39","54","160","151","63","326278598"
"20232","11290780","장위3동","85","506","355","45","","","23","297","182","39","54","160","151","63","326278598"
"20233","11290780","장위3동","85","506","355","45","","","23","297","182","39","54","160","151","63","326278598"
"20231","11290810","석관동","402","2693","485","69","72","12","514","1574","474","143","225","248","153","51","200562779"
"20232","11290810","석관동","402","2693","485","69","72","12","514","1574","474","143","225","248","153","51","200562779"
"20233","11290810","석관동","402","2693","485","69","72","12","514","1574","474","143","225","248","153","51","200562779"
"20231","11305534","삼양동","389","2708","604","63","","","587","2243","198","101","166","76","4","54","154930571"
"20232","11305534","삼양동","389","2708","604","63","","","587","2243","198","101","166","76","4","54","154930571"
"20233","11305534","삼양동","389","2708","604","63","","","587","2243","198","101","166","76","4","54","154930571"
"20231","11305535","미아동","445","3292","402","19","11","1","1078","2060","498","82","6","1","","48","135422312"
"20232","11305535","미아동","445","3292","402","19","11","1","1078","2060","498","82","6","1","","48","135422312"
"20233","11305535","미아동","445","3292","402","19","11","1","1078","2060","498","82","6","1","","48","135422312"
"20231","11305545","송중동","518","3187","768","122","2","","833","2186","523","40","95","225","177","54","173873411"
"20232","11305545","송중동","518","3187","768","122","2","","833","2186","523","40","95","225","177","54","173873411"
"20233","11305545","송중동","518","3187","768","122","2","","833","2186","523","40","95","225","177","54","173873411"
"20231","11305555","송천동","374","2363","451","42","","1","191","1717","726","75","27","43","78","51","191442343"
"20232","11305555","송천동","374","2363","451","42","","1","191","1717","726","75","27","43","78","51","191442343"
"20233","11305555","송천동","374","2363","451","42","","1","191","1717","726","75","27","43","78","51","191442343"
"20231","11305575","삼각산동","132","460","695","382","","","4","3","","100","689","327","414","84","526437193"
"20232","11305575","삼각산동","132","460","695","382","","","4","3","","100","689","327","414","84","526437193"
"20233","11305575","삼각산동","132","460","695","382","","","4","3","","100","689","327","414","84","526437193"
"20232","11305595","번1동","202","1605","199","","1","","498","1209","55","19","24","","","49","128086833"
"20233","11305595","번1동","202","1605","199","","1","","498","1209","55","19","24","","","49","128086833"
"20231","11305603","번2동","501","3742","177","18","1","","2383","1357","85","90","23","","","45","101304348"
"20232","11305603","번2동","501","3742","177","18","1","","2383","1357","85","90","23","","","45","101304348"
"20233","11305603","번2동","501","3742","177","18","1","","2383","1357","85","90","23","","","45","101304348"
"20231","11305608","번3동","90","672","315","30","6","","179","357","139","198","146","4","","58","229654462"
"20232","11305608","번3동","90","672","315","30","6","","179","357","139","198","146","4","","58","229654462"
"20233","11305608","번3동","90","672","315","30","6","","179","357","139","198","146","4","","58","229654462"
"20231","11215840","자양3동","171","867","722","147","44","11","11","270","299","173","120","144","774","65","503185054"
"20232","11215840","자양3동","171","867","722","147","44","11","11","270","299","173","120","144","774","65","503185054"
"20233","11215840","자양3동","171","867","722","147","44","11","11","270","299","173","120","144","774","65","503185054"
"20231","11215847","자양4동","141","1064","294","30","12","","146","415","417","226","42","31","123","47","259534026"
"20232","11215847","자양4동","141","1064","294","30","12","","146","415","417","226","42","31","123","47","259534026"
"20233","11215847","자양4동","141","1064","294","30","12","","146","415","417","226","42","31","123","47","259534026"
"20231","11215850","구의1동","421","2897","560","43","2","","338","1927","1084","67","35","2","49","48","182840088"
"20232","11215850","구의1동","421","2897","560","43","2","","338","1927","1084","67","35","2","49","48","182840088"
"20233","11215850","구의1동","421","2897","560","43","2","","338","1927","1084","67","35","2","49","48","182840088"
"20231","11215860","구의2동","569","3313","1464","130","35","8","186","2192","2104","221","73","32","142","59","218482807"
"20232","11215860","구의2동","569","3313","1464","130","35","8","186","2192","2104","221","73","32","142","59","218482807"
"20233","11215860","구의2동","569","3313","1464","130","35","8","186","2192","2104","221","73","32","142","59","218482807"
"20231","11215870","구의3동","319","1905","961","128","69","76","225","1156","853","149","82","64","610","60","306329165"
"20232","11215870","구의3동","319","1905","961","128","69","76","225","1156","853","149","82","64","610","60","306329165"
"20233","11215870","구의3동","319","1905","961","128","69","76","225","1156","853","149","82","64","610","60","306329165"
"20231","11230536","용신동","212","1333","465","104","16","4","165","709","570","100","75","68","235","57","263764070"
"20232","11230536","용신동","212","1333","465","104","16","4","165","709","570","100","75","68","235","57","263764070"
"20233","11230536","용신동","212","1333","465","104","16","4","165","709","570","100","75","68","235","57","263764070"
"20231","11230545","제기동","276","1738","548","84","7","16","378","1073","560","37","73","218","54","56","199334932"
"20232","11230545","제기동","276","1738","548","84","7","16","378","1073","560","37","73","218","54","56","199334932"
"20233","11230545","제기동","276","1738","548","84","7","16","378","1073","560","37","73","218","54","56","199334932"
"20231","11230560","전농1동","236","1565","449","118","1","2","274","750","520","128","20","38","405","53","298148257"
"20232","11230560","전농1동","236","1565","449","118","1","2","274","750","520","128","20","38","405","53","298148257"
"20233","11230560","전농1동","236","1565","449","118","1","2","274","750","520","128","20","38","405","53","298148257"
"20231","11230570","전농2동","95","499","280","199","","","39","178","152","43","146","172","248","70","385704055"
"20232","11230570","전농2동","95","499","280","199","","","39","178","152","43","146","172","248","70","385704055"
"20233","11230570","전농2동","95","499","280","199","","","39","178","152","43","146","172","248","70","385704055"
"20231","11230600","답십리1동","123","777","443","98","34","","39","248","214","53","52","78","668","64","481259336"
"20232","11230600","답십리1동","123","777","443","98","34","","39","248","214","53","52","78","668","64","481259336"
"20233","11230600","답십리1동","123","777","443","98","34","","39","248","214","53","52","78","668","64","481259336"
"20231","11230610","답십리2동","128","649","512","130","2","","52","274","168","70","204","335","190","69","367194404"
"20232","11230610","답십리2동","128","649","512","130","2","","52","274","168","70","204","335","190","69","367194404"
"20233","11230610","답십리2동","128","649","512","130","2","","52","274","168","70","204","335","190","69","367194404"
"20231","11230650","장안1동","366","3152","1217","255","23","","170","1386","2091","421","277","176","126","58","242312008"
"20232","11230650","장안1동","366","3152","1217","255","23","","170","1386","2091","421","277","176","126","58","242312008"
"20233","11230650","장안1동","366","3152","1217","255","23","","170","1386","2091","421","277","176","126","58","242312008"
"20231","11230660","장안2동","278","2403","879","159","15","","140","916","1495","233","159","247","266","59","269839336"
"20232","11230660","장안2동","278","2403","879","159","15","","140","916","1495","233","159","247","266","59","269839336"
"20233","11230660","장안2동","278","2403","879","159","15","","140","916","1495","233","159","247","266","59","269839336"
"20231","11230705","청량리동","111","618","254","99","22","11","135","414","153","9","75","87","131","63","259040718"
"20232","11230705","청량리동","111","618","254","99","22","11","135","414","153","9","75","87","131","63","259040718"
"20233","11230705","청량리동","111","618","254","99","22","11","135","414","153","9","75","87","131","63","259040718"
"20231","11305615","수유1동","472","3733","556","16","1","","1343","2752","209","2","","","","50","125457938"
"20232","11305615","수유1동","472","3733","556","16","1","","1343","2752","209","2","","","","50","125457938"
"20233","11305615","수유1동","472","3733","556","16","1","","1343","2752","209","2","","","","50","125457938"
"20231","11305625","수유2동","382","3108","508","79","2","","988","2331","144","105","117","12","","52","139567075"
"20232","11305625","수유2동","382","3108","508","79","2","","988","2331","144","105","117","12","","52","139567075"
"20233","11305625","수유2동","382","3108","508","79","2","","988","2331","144","105","117","12","","52","139567075"
"20231","11305635","수유3동","389","3189","317","13","2","","904","2505","88","24","","","","50","125310129"
"20232","11305635","수유3동","389","3189","317","13","2","","904","2505","88","24","","","","50","125310129"
"20233","11305635","수유3동","389","3189","317","13","2","","904","2505","88","24","","","","50","125310129"
"20231","11305645","우이동","545","3902","829","175","59","25","1128","3242","474","102","20","13","11","58","144599549"
"20232","11305645","우이동","545","3902","829","175","59","25","1128","3242","474","102","20","13","11","58","144599549"
"20233","11305645","우이동","545","3902","829","175","59","25","1128","3242","474","102","20","13","11","58","144599549"
"20231","11305660","인수동","770","5868","1053","125","63","4","2156","4479","320","130","28","","","54","133012223"
"20232","11305660","인수동","770","5868","1053","125","63","4","2156","4479","320","130","28","","","54","133012223"
"20233","11305660","인수동","770","5868","1053","125","63","4","2156","4479","320","130","28","","","54","133012223"
"20231","11320511","창1동","171","1206","537","119","101","31","193","712","147","307","541","88","6","66","259467213"
"20232","11320511","창1동","171","1206","537","119","101","31","193","712","147","307","541","88","6","66","259467213"
"20233","11320511","창1동","171","1206","537","119","101","31","193","712","147","307","541","88","6","66","259467213"
"20231","11170510","후암동","370","1811","818","104","84","60","60","671","980","682","221","99","164","63","292755194"
"20232","11170510","후암동","370","1811","818","104","84","60","60","671","980","682","221","99","164","63","292755194"
"20233","11170510","후암동","370","1811","818","104","84","60","60","671","980","682","221","99","164","63","292755194"
"20231","11170520","용산2가동","281","1403","175","10","4","1","73","762","608","104","29","15","2","49","204859436"
"20232","11170520","용산2가동","281","1403","175","10","4","1","73","762","608","104","29","15","2","49","204859436"
"20233","11170520","용산2가동","281","1403","175","10","4","1","73","762","608","104","29","15","2","49","204859436"
"20231","11170530","남영동","78","367","154","31","18","2","7","51","130","149","138","48","49","61","398414266"
"20232","11170530","남영동","78","367","154","31","18","2","7","51","130","149","138","48","49","61","398414266"
"20233","11170530","남영동","78","367","154","31","18","2","7","51","130","149","138","48","49","61","398414266"
"20231","11170555","청파동","457","2443","584","92","11","3","73","998","1403","473","148","31","7","54","244172572"
"20232","11170555","청파동","457","2443","584","92","11","3","73","998","1403","473","148","31","7","54","244172572"
"20233","11170555","청파동","457","2443","584","92","11","3","73","998","1403","473","148","31","7","54","244172572"
"20231","11170560","원효로1동","125","778","345","99","30","","17","175","507","135","52","23","343","55","423991122"
"20232","11170560","원효로1동","125","778","345","99","30","","17","175","507","135","52","23","343","55","423991122"
"20233","11170560","원효로1동","125","778","345","99","30","","17","175","507","135","52","23","343","55","423991122"
"20231","11170570","원효로2동","119","657","310","102","34","60","5","160","280","182","44","144","348","68","462855465"
"20232","11170570","원효로2동","119","657","310","102","34","60","5","160","280","182","44","144","348","68","462855465"
"20233","11170570","원효로2동","119","657","310","102","34","60","5","160","280","182","44","144","348","68","462855465"
"20231","11170580","효창동","187","995","574","119","39","22","25","343","602","328","142","62","247","63","342185373"
"20232","11170580","효창동","187","995","574","119","39","22","25","343","602","328","142","62","247","63","342185373"
"20233","11170580","효창동","187","995","574","119","39","22","25","343","602","328","142","62","247","63","342185373"
"20231","11170590","용문동","176","1130","299","90","3","","31","275","579","353","39","24","221","54","323872688"
"20232","11170590","용문동","176","1130","299","90","3","","31","275","579","353","39","24","221","54","323872688"
"20233","11170590","용문동","176","1130","299","90","3","","31","275","579","353","39","24","221","54","323872688"
